"AWAY_2PA"	"AWAY_2PM"	"AWAY_3PA"	"AWAY_3PM"	"AWAY_FTA"	"AWAY_FTM"	"AWAY_TO"	"AWAY_ORB"	"AWAY_DRB"	"HOME_2PA"	"HOME_2PM"	"HOME_3PA"	"HOME_3PM"	"HOME_FTA"	"HOME_FTM"	"HOME_TO"	"HOME_ORB"	"HOME_DRB"	"WINNER"
"129"	62.5	30	15.5	4.25	28	20	14.25	9	25	59.6666666666667	29.6666666666667	23	9.66666666666667	20	15.6666666666667	14	10.3333333333333	27	"H"
"130"	63.5714285714286	29.2857142857143	16.2857142857143	6.14285714285714	28.2857142857143	22.4285714285714	11.8571428571429	12.2857142857143	30.8571428571429	58	29	17.2857142857143	5	31.4285714285714	24	16.1428571428571	9.85714285714286	31.8571428571429	"H"
"131"	68.75	31	16.25	6	32.5	25	14	14.5	33.5	57.6	31	16.4	6	24.8	19	16.6	8.6	32	"A"
"132"	60.8	28.2	15	5.2	28.8	21.6	18.8	12.2	33.6	72.4	34.8	12.2	3.6	23.6	18.2	12.6	9	29.8	"A"
"133"	68	29	11	4	23	18.5	16	16	23	59.5	28.5	23.5	9.25	20.5	16	14.75	13.25	29.25	"H"
"134"	69.6	28	15	4.4	25	20.6	19	12.6	28.6	68.6666666666667	32.8333333333333	15.6666666666667	4.66666666666667	36.6666666666667	27.6666666666667	14.6666666666667	13.6666666666667	30.6666666666667	"A"
"135"	62.7142857142857	31	14.5714285714286	4.57142857142857	27	21.4285714285714	17.1428571428571	10	32.1428571428571	70.6	33	16.6	6.6	25.4	19	14.4	13.6	34.2	"H"
"136"	65.7142857142857	30.2857142857143	14.5714285714286	5.57142857142857	19.5714285714286	16.1428571428571	13.2857142857143	10.8571428571429	31.2857142857143	64.25	29.75	14.75	4.25	29	21.5	14.75	11.25	31.25	"A"
"137"	70.6666666666667	31.3333333333333	16	5.33333333333333	16	13	16	12.3333333333333	31.3333333333333	72	35	12.2	5	25.8	18	16.6	15	35.4	"H"
"138"	63.8333333333333	28.6666666666667	15	4.66666666666667	27.3333333333333	20.8333333333333	17.3333333333333	11.8333333333333	31.1666666666667	64.75	30	17.25	4.5	27.75	22	15.75	13.75	32	"H"
"139"	53.25	25	20	9.25	25	19.25	15.75	8.5	28.25	61	30.25	16.25	5.75	28.25	24.25	14.75	10.5	30.25	"A"
"140"	58.25	26.75	19.75	8.5	23.5	17.75	13	9.75	27	74.7142857142857	30.1428571428571	8.42857142857143	3	23.8571428571429	18.1428571428571	16	13.1428571428571	31.1428571428571	"A"
"141"	59	28	29	11.4	17.6	12.6	11.8	8.2	30	71.4	32	12.2	4	26	18.8	13.4	12.8	29.8	"H"
"142"	54	25.5	25.5	8.25	28.5	20.5	13.5	9.5	35.25	60.6666666666667	30.3333333333333	21.8333333333333	7.66666666666667	24.3333333333333	17.6666666666667	14.3333333333333	10.3333333333333	34.8333333333333	"A"
"143"	56.875	24.625	20.5	9.125	22.875	17.625	12.875	10.625	26.875	65.5	33.5	14.5	5.33333333333333	24	18.8333333333333	16	10.1666666666667	31.8333333333333	"A"
"144"	64.6666666666667	30.5	14.1666666666667	4.83333333333333	22.3333333333333	17.3333333333333	17.1666666666667	12.6666666666667	28.6666666666667	56.3333333333333	26.1666666666667	20.3333333333333	6.66666666666667	19	13	12	9.5	30.6666666666667	"H"
"145"	58.1428571428571	25.5714285714286	21.7142857142857	9.42857142857143	27.7142857142857	19.7142857142857	12.7142857142857	11.7142857142857	30.1428571428571	57	31.8333333333333	20.3333333333333	6.5	26.6666666666667	21.5	12.5	10.1666666666667	28.5	"H"
"146"	63.25	29.625	16.125	6.125	21.25	17	13.25	11	31.375	55.5714285714286	28.2857142857143	24.2857142857143	8	29.4285714285714	20.5714285714286	14.4285714285714	12.7142857142857	30.5714285714286	"A"
